item_idx,iid,total_ratings,avg_rating
0,0,17,0.7880392156862746
1,1,22,0.7428787878787879
2,2,12,0.6147222222222223
3,3,19,0.632280701754386
4,4,17,0.6827450980392157
5,5,17,0.6092156862745098
6,6,12,0.601111111111111
7,7,23,0.654927536231884
8,8,12,0.7147222222222221
9,9,27,0.7035802469135802
10,10,25,0.5877333333333333
11,11,28,0.6858333333333333
12,12,27,0.6930864197530865
13,13,21,0.7249206349206349
14,14,22,0.646060606060606
15,15,25,0.6964
16,16,25,0.7074666666666667
17,17,24,0.6726388888888889
18,18,19,0.7129824561403509
19,19,21,0.5284126984126984
20,20,17,0.6586274509803922
21,21,16,0.7391666666666666
22,22,20,0.6473333333333333
23,23,18,0.5992592592592593
24,24,21,0.6685714285714285
25,25,20,0.755
26,26,32,0.6414583333333334
27,27,23,0.6505797101449275
28,28,11,0.5903030303030303
29,29,13,0.6464102564102565
30,30,24,0.5955555555555555
31,31,21,0.6093650793650793
32,32,17,0.6005882352941176
33,33,15,0.6655555555555556
34,34,22,0.6733333333333333
35,35,14,0.6328571428571428
36,36,22,0.7406060606060606
37,37,17,0.7658823529411765
38,38,18,0.6494444444444444
39,39,20,0.7111666666666666
40,40,18,0.6896296296296296
41,41,27,0.7108641975308643
42,42,16,0.734375
43,43,21,0.7834920634920635
44,44,17,0.5505882352941176
45,45,19,0.7307017543859649
46,46,19,0.47877192982456146
47,47,23,0.6560869565217391
48,48,19,0.6412280701754386
49,49,27,0.7020987654320988
50,50,14,0.505
51,51,23,0.662463768115942
52,52,19,0.5552631578947369
53,53,22,0.7396969696969697
54,54,25,0.6093333333333333
55,55,15,0.6597777777777778
56,56,20,0.643
57,57,20,0.6508333333333334
58,58,22,0.6672727272727272
59,59,16,0.6864583333333333
60,60,14,0.645952380952381
61,61,20,0.6133333333333334
62,62,18,0.6077777777777778
63,63,15,0.6957777777777777
64,64,17,0.7094117647058824
65,65,24,0.6384722222222222
66,66,24,0.5834722222222223
67,67,17,0.6915686274509804
68,68,22,0.6657575757575759
