user,item,label,context
1001,715,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_sunny
1001,267,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_sunny
1001,294,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_sunny
1001,259,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_snowing
1001,674,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_rainy
1001,674,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_cloudy
1001,259,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_cloudy
1001,715,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_traffic jamweather_Unknown
1001,285,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_lots of carsweather_Unknown
1001,279,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_sleepytrafficConditions_Unknownweather_Unknown
1001,754,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_sleepytrafficConditions_Unknownweather_Unknown
1001,694,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_awaketrafficConditions_Unknownweather_Unknown
1001,251,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_awaketrafficConditions_Unknownweather_Unknown
1001,279,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_awaketrafficConditions_Unknownweather_Unknown
1001,267,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _UnknownRoadType_citysleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,285,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _nightRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,279,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _nightRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,285,1,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _morningRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,754,0,DrivingStyle_Unknownlandscape_Unknownmood_Unknownnaturalphenomena _morningRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,715,0,DrivingStyle_Unknownlandscape_Unknownmood_sadnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,694,0,DrivingStyle_Unknownlandscape_Unknownmood_lazynaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,294,0,DrivingStyle_Unknownlandscape_Unknownmood_lazynaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,251,0,DrivingStyle_Unknownlandscape_Unknownmood_activenaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,251,0,DrivingStyle_Unknownlandscape_urbanmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,294,1,DrivingStyle_Unknownlandscape_mountainsmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,674,0,DrivingStyle_Unknownlandscape_mountainsmood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,267,1,DrivingStyle_Unknownlandscape_country sidemood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
1001,694,1,DrivingStyle_Unknownlandscape_coast linemood_Unknownnaturalphenomena _UnknownRoadType_Unknownsleepiness_UnknowntrafficConditions_Unknownweather_Unknown
