user_idx,uid,total_ratings,avg_rating
0,0,51,0.5465416936005171
1,1,59,0.562441795492643
2,2,46,0.5604395604395604
3,3,56,0.5845761381475667
4,4,63,0.5705564276992849
5,5,60,0.5763736263736264
6,6,46,0.554526994744386
7,7,55,0.557042957042957
8,8,49,0.5383494056963445
9,9,46,0.5668299092212136
10,10,55,0.5571428571428572
11,11,46,0.5555422838031534
12,12,41,0.5884481372286251
13,13,55,0.5533466533466533
14,14,52,0.5034340659340659
15,15,52,0.5936179205409975
16,16,58,0.5291303524062145
17,17,64,0.5682949862637363
18,18,49,0.5618972863870823
19,19,53,0.554323035455111
20,20,45,0.5956043956043956
21,21,44,0.586913086913087
22,22,44,0.5536338661338661
23,23,54,0.5892857142857143
24,24,48,0.5858516483516484
25,25,44,0.578484015984016
26,26,52,0.5664095519864751
27,27,53,0.5777006012855069
28,28,51,0.529681103210515
29,29,49,0.5675599910293788
30,30,52,0.5106720202874049
31,31,51,0.568411980176686
32,32,58,0.5603448275862069
33,33,50,0.5716483516483517
34,34,63,0.560526774812489
35,35,51,0.5243482008187891
36,36,56,0.5512166405023547
37,37,49,0.5719331688719443
38,38,41,0.560707585097829
39,39,62,0.5391261963842608
40,40,57,0.635579332947754
41,41,47,0.5614332476034604
42,42,54,0.5842999592999593
43,43,44,0.5669330669330669
44,44,49,0.5236600134559318
45,45,48,0.5622710622710623
46,46,55,0.5668331668331669
47,47,46,0.5712494027711419
48,48,48,0.5349130036630036
49,49,50,0.5687912087912088
50,50,48,0.5400641025641025
51,51,50,0.5666483516483517
52,52,43,0.5715563506261181
53,53,44,0.5618756243756244
54,54,51,0.5596854126265891
55,55,49,0.5590379008746356
56,56,50,0.5492857142857143
57,57,39,0.5486052409129332
58,58,54,0.5883699633699634
59,59,50,0.5488461538461539
60,60,42,0.569662480376766
61,61,45,0.5785714285714286
62,62,50,0.5465934065934066
63,63,46,0.55685618729097
64,64,45,0.5445054945054946
65,65,45,0.5835164835164836
66,66,50,0.5934615384615385
