userId,productId,actionCode,device_type,timestamp,user_encoded,item_encoded,rating,gender_encoded,category_encoded,brand_encoded,device_encoded,hour,day_of_week,month,is_weekend,time_of_day,season
49,17,view,desktop,2025-10-12 19:49:09,19,15,0.3,1,0,4,0,19,6,10,1,3,3
50,7,view,tablet,2025-10-12 20:29:09,20,5,0.3,1,5,4,2,20,6,10,1,3,3
41,20,view,mobile,2025-10-12 20:43:09,11,18,0.3,0,4,4,1,20,6,10,1,3,3
46,30,cart,mobile,2025-10-12 21:54:09,16,28,0.7,1,3,0,1,21,6,10,1,3,3
47,6,purchase,desktop,2025-10-13 01:20:09,17,4,1.0,1,5,2,0,1,0,10,0,0,3
47,6,view,mobile,2025-10-13 02:16:09,17,4,0.3,1,5,2,1,2,0,10,0,0,3
47,6,cart,mobile,2025-10-13 02:23:09,17,4,0.7,1,5,2,1,2,0,10,0,0,3
35,16,view,mobile,2025-10-13 03:16:09,5,14,0.3,0,0,0,1,3,0,10,0,0,3
46,28,view,mobile,2025-10-13 05:16:09,16,26,0.3,1,3,4,1,5,0,10,0,0,3
50,8,cart,desktop,2025-10-13 05:41:09,20,6,0.7,1,5,5,0,5,0,10,0,0,3
49,3,view,desktop,2025-10-13 05:41:09,19,1,0.3,1,0,3,0,5,0,10,0,0,3
49,3,cart,desktop,2025-10-13 05:55:09,19,1,0.7,1,0,3,0,5,0,10,0,0,3
46,30,view,desktop,2025-10-13 06:55:09,16,28,0.3,1,3,0,0,6,0,10,0,1,3
33,8,view,desktop,2025-10-13 07:04:09,3,6,0.3,0,5,5,0,7,0,10,0,1,3
35,18,purchase,mobile,2025-10-13 10:12:09,5,16,1.0,0,0,5,1,10,0,10,0,1,3
33,5,view,mobile,2025-10-13 11:06:09,3,3,0.3,0,5,2,1,11,0,10,0,1,3
50,6,view,mobile,2025-10-13 11:15:09,20,4,0.3,1,5,2,1,11,0,10,0,1,3
43,2,view,mobile,2025-10-13 11:21:09,13,0,0.3,0,7,3,1,11,0,10,0,1,3
44,5,view,mobile,2025-10-13 11:25:09,14,3,0.3,0,5,2,1,11,0,10,0,1,3
50,6,cart,mobile,2025-10-13 11:39:09,20,4,0.7,1,5,2,1,11,0,10,0,1,3
44,5,cart,mobile,2025-10-13 11:44:09,14,3,0.7,0,5,2,1,11,0,10,0,1,3
31,4,view,mobile,2025-10-13 12:53:09,1,2,0.3,0,5,2,1,12,0,10,0,2,3
43,4,cart,tablet,2025-10-13 13:10:09,13,2,0.7,0,5,2,2,13,0,10,0,2,3
49,23,view,desktop,2025-10-13 14:11:09,19,21,0.3,1,6,5,0,14,0,10,0,2,3
40,24,cart,desktop,2025-10-13 14:22:09,10,22,0.7,1,6,5,0,14,0,10,0,2,3
42,23,view,mobile,2025-10-13 17:14:09,12,21,0.3,0,6,5,1,17,0,10,0,2,3
49,8,view,mobile,2025-10-13 17:23:09,19,6,0.3,1,5,5,1,17,0,10,0,2,3
41,19,view,mobile,2025-10-13 17:37:09,11,17,0.3,0,4,1,1,17,0,10,0,2,3
42,29,view,desktop,2025-10-13 19:02:09,12,27,0.3,0,3,1,0,19,0,10,0,3,3
36,26,view,desktop,2025-10-13 19:08:09,6,24,0.3,1,7,1,0,19,0,10,0,3,3
42,29,cart,desktop,2025-10-13 19:16:09,12,27,0.7,0,3,1,0,19,0,10,0,3,3
41,20,purchase,tablet,2025-10-13 19:19:09,11,18,1.0,0,4,4,2,19,0,10,0,3,3
49,29,cart,tablet,2025-10-13 19:25:09,19,27,0.7,1,3,1,2,19,0,10,0,3,3
41,27,view,tablet,2025-10-13 19:40:09,11,25,0.3,0,7,3,2,19,0,10,0,3,3
41,27,cart,tablet,2025-10-13 20:01:09,11,25,0.7,0,7,3,2,20,0,10,0,3,3
31,8,cart,desktop,2025-10-13 21:06:09,1,6,0.7,0,5,5,0,21,0,10,0,3,3
47,30,view,desktop,2025-10-13 22:51:09,17,28,0.3,1,3,0,0,22,0,10,0,3,3
47,30,cart,desktop,2025-10-13 23:08:09,17,28,0.7,1,3,0,0,23,0,10,0,3,3
34,6,purchase,mobile,2025-10-14 00:21:09,4,4,1.0,0,5,2,1,0,1,10,0,0,3
34,16,cart,mobile,2025-10-14 01:52:09,4,14,0.7,0,0,0,1,1,1,10,0,0,3
35,7,cart,desktop,2025-10-14 02:52:09,5,5,0.7,0,5,4,0,2,1,10,0,0,3
48,29,purchase,desktop,2025-10-14 04:54:09,18,27,1.0,1,3,1,0,4,1,10,0,0,3
50,8,view,desktop,2025-10-14 05:09:09,20,6,0.3,1,5,5,0,5,1,10,0,0,3
31,2,view,desktop,2025-10-14 09:56:09,1,0,0.3,0,7,3,0,9,1,10,0,1,3
36,14,cart,mobile,2025-10-14 10:02:09,6,12,0.7,1,1,1,1,10,1,10,0,1,3
47,21,view,desktop,2025-10-14 10:39:09,17,19,0.3,1,4,4,0,10,1,10,0,1,3
34,7,cart,mobile,2025-10-14 10:45:09,4,5,0.7,0,5,4,1,10,1,10,0,1,3
49,3,purchase,desktop,2025-10-14 10:55:09,19,1,1.0,1,0,3,0,10,1,10,0,1,3
34,30,cart,tablet,2025-10-14 10:58:09,4,28,0.7,0,3,0,2,10,1,10,0,1,3
41,11,view,desktop,2025-10-14 11:06:09,11,9,0.3,0,2,3,0,11,1,10,0,1,3
46,28,view,mobile,2025-10-14 11:16:09,16,26,0.3,1,3,4,1,11,1,10,0,1,3
47,30,view,mobile,2025-10-14 11:30:09,17,28,0.3,1,3,0,1,11,1,10,0,1,3
32,5,view,desktop,2025-10-14 12:13:09,2,3,0.3,0,5,2,0,12,1,10,0,2,3
42,24,view,desktop,2025-10-14 12:35:09,12,22,0.3,0,6,5,0,12,1,10,0,2,3
32,15,cart,tablet,2025-10-14 13:12:09,2,13,0.7,0,1,0,2,13,1,10,0,2,3
40,2,view,desktop,2025-10-14 13:43:09,10,0,0.3,1,7,3,0,13,1,10,0,2,3
40,2,cart,desktop,2025-10-14 13:50:09,10,0,0.7,1,7,3,0,13,1,10,0,2,3
48,28,cart,desktop,2025-10-14 13:54:09,18,26,0.7,1,3,4,0,13,1,10,0,2,3
37,30,cart,desktop,2025-10-14 14:19:09,7,28,0.7,1,3,0,0,14,1,10,0,2,3
39,23,cart,desktop,2025-10-14 15:09:09,9,21,0.7,1,6,5,0,15,1,10,0,2,3
45,26,view,mobile,2025-10-14 15:26:09,15,24,0.3,0,7,1,1,15,1,10,0,2,3
35,20,view,desktop,2025-10-14 17:21:09,5,18,0.3,0,4,4,0,17,1,10,0,2,3
35,20,cart,desktop,2025-10-14 17:42:09,5,18,0.7,0,4,4,0,17,1,10,0,2,3
37,16,view,mobile,2025-10-14 18:48:09,7,14,0.3,1,0,0,1,18,1,10,0,3,3
47,30,cart,tablet,2025-10-14 19:25:09,17,28,0.7,1,3,0,2,19,1,10,0,3,3
39,22,purchase,desktop,2025-10-14 20:45:09,9,20,1.0,1,6,5,0,20,1,10,0,3,3
44,30,view,desktop,2025-10-14 23:48:09,14,28,0.3,0,3,0,0,23,1,10,0,3,3
48,20,purchase,mobile,2025-10-15 04:47:09,18,18,1.0,1,4,4,1,4,2,10,0,0,3
48,19,view,desktop,2025-10-15 04:49:09,18,17,0.3,1,4,1,0,4,2,10,0,0,3
